name	depth	num_bases_at_depth	size_of_feature	pros_of_A_at_depth
all	735	1195	971256	0.0012304
all	736	1054	971256	0.0010852
all	737	1339	971256	0.0013786
all	738	1214	971256	0.0012499
all	739	1315	971256	0.0013539
all	740	1229	971256	0.0012654
all	741	1185	971256	0.0012201
all	742	1355	971256	0.0013951
all	743	1240	971256	0.0012767
all	744	1407	971256	0.0014486
all	745	1196	971256	0.0012314
all	746	1051	971256	0.0010821
all	747	1117	971256	0.0011501
all	748	1195	971256	0.0012304
all	749	1103	971256	0.0011356
all	750	1399	971256	0.0014404
all	751	1489	971256	0.0015331
all	752	1341	971256	0.0013807
all	753	1261	971256	0.0012983
all	754	1165	971256	0.0011995
all	755	1455	971256	0.0014981
all	756	1070	971256	0.0011017
all	757	1398	971256	0.0014394
all	758	1399	971256	0.0014404
all	759	1285	971256	0.001323
all	760	922	971256	9.493e-4
all	761	1140	971256	0.0011737
all	762	1224	971256	0.0012602
all	763	1071	971256	0.0011027
all	764	1077	971256	0.0011089
all	765	974	971256	0.0010028
all	766	1049	971256	0.00108
all	767	1166	971256	0.0012005
all	768	1264	971256	0.0013014
all	769	892	971256	9.184e-4
all	770	885	971256	9.112e-4
all	771	986	971256	0.0010152
all	772	924	971256	9.513e-4
all	773	980	971256	0.001009
all	774	657	971256	6.764e-4
all	775	781	971256	8.041e-4
all	776	1022	971256	0.0010522
all	777	732	971256	7.537e-4
all	778	1018	971256	0.0010481
all	779	726	971256	7.475e-4
all	780	987	971256	0.0010162
all	781	1040	971256	0.0010708
all	782	705	971256	7.259e-4
all	783	903	971256	9.297e-4
all	784	963	971256	9.915e-4
all	785	845	971256	8.7e-4
all	786	733	971256	7.547e-4
all	787	791	971256	8.144e-4
all	788	1043	971256	0.0010739
all	789	791	971256	8.144e-4
all	790	675	971256	6.95e-4
all	791	593	971256	6.105e-4
all	792	617	971256	6.353e-4
all	793	812	971256	8.36e-4
all	794	729	971256	7.506e-4
all	795	943	971256	9.709e-4
